ValuationDate,Currency,VolatilitySurfaceName,Expiry,Tenor,Strike,Volatility
6/26/2018,USD,USD_SwnVol,10Y,5Y,12.5,0.007583871
6/26/2018,USD,USD_SwnVol,10Y,5Y,25,0.007585662
6/26/2018,USD,USD_SwnVol,10Y,5Y,37.5,0.007594519
6/26/2018,USD,USD_SwnVol,10Y,5Y,50,0.007610272
6/26/2018,USD,USD_SwnVol,10Y,5Y,75,0.007661611
6/26/2018,USD,USD_SwnVol,10Y,5Y,100,0.007737639
6/26/2018,USD,USD_SwnVol,10Y,5Y,125,0.007835931
6/26/2018,USD,USD_SwnVol,10Y,5Y,150,0.007953878
6/26/2018,USD,USD_SwnVol,10Y,5Y,200,0.008238417
6/26/2018,USD,USD_SwnVol,10Y,5Y,250,0.008572396
6/26/2018,USD,USD_SwnVol,10Y,5Y,300,0.008940838
6/26/2018,USD,USD_SwnVol,10Y,5Y,400,0.009740346
6/26/2018,USD,USD_SwnVol,10Y,5Y,500,0.010582707
6/26/2018,USD,USD_SwnVol,10Y,5Y,1500,0.018988449
6/26/2018,USD,USD_SwnVol,10Y,7Y,-1500,0.007685638
6/26/2018,USD,USD_SwnVol,10Y,7Y,-500,0.007730588
6/26/2018,USD,USD_SwnVol,10Y,7Y,-400,0.007748705
6/26/2018,USD,USD_SwnVol,10Y,7Y,-300,0.007776417
6/26/2018,USD,USD_SwnVol,10Y,7Y,-250,0.007785566
6/26/2018,USD,USD_SwnVol,10Y,7Y,-200,0.007691342
6/26/2018,USD,USD_SwnVol,10Y,7Y,-150,0.007571164
6/26/2018,USD,USD_SwnVol,10Y,7Y,-125,0.007516913
6/26/2018,USD,USD_SwnVol,10Y,7Y,-100,0.007472943
6/26/2018,USD,USD_SwnVol,10Y,7Y,-75,0.007443767
6/26/2018,USD,USD_SwnVol,10Y,7Y,-50,0.0074338
6/26/2018,USD,USD_SwnVol,10Y,7Y,-37.5,0.007437356
6/26/2018,USD,USD_SwnVol,10Y,7Y,-25,0.007447282
6/26/2018,USD,USD_SwnVol,10Y,7Y,-12.5,0.007464052
6/26/2018,USD,USD_SwnVol,10Y,7Y,0,0.007488108
6/26/2018,USD,USD_SwnVol,10Y,7Y,12.5,0.007474052
6/26/2018,USD,USD_SwnVol,10Y,7Y,25,0.007467621
6/26/2018,USD,USD_SwnVol,10Y,7Y,37.5,0.007468709
6/26/2018,USD,USD_SwnVol,10Y,7Y,50,0.007477164
6/26/2018,USD,USD_SwnVol,10Y,7Y,75,0.007515338
6/26/2018,USD,USD_SwnVol,10Y,7Y,100,0.007580091
6/26/2018,USD,USD_SwnVol,10Y,7Y,125,0.00766889
