Ticker,DividendDate,PayDate,Type,Value,Currency
.SPX,2019-05-20,2019-05-20,DISCRETE,0.396764519,USD
.SPX,2019-05-21,2019-05-21,DISCRETE,0.132288904,USD
.SPX,2019-05-22,2019-05-22,DISCRETE,0.132310017,USD
.SPX,2019-05-23,2019-05-23,DISCRETE,0.132331135,USD
.SPX,2019-05-24,2019-05-24,DISCRETE,0.132352256,USD
.SPX,2019-05-28,2019-05-28,DISCRETE,0.529669494,USD
.SPX,2019-05-29,2019-05-29,DISCRETE,0.132457921,USD
.SPX,2019-05-30,2019-05-30,DISCRETE,0.132479066,USD
.SPX,2019-05-31,2019-05-31,DISCRETE,0.132500214,USD
.SPX,2019-06-03,2019-06-03,DISCRETE,0.397652278,USD
.SPX,2019-06-04,2019-06-04,DISCRETE,0.132584847,USD
.SPX,2019-06-05,2019-06-05,DISCRETE,0.132606015,USD
.SPX,2019-06-06,2019-06-06,DISCRETE,0.132627187,USD
.SPX,2019-06-07,2019-06-07,DISCRETE,0.132648362,USD
.SPX,2019-06-10,2019-06-10,DISCRETE,0.398097012,USD
.SPX,2019-06-11,2019-06-11,DISCRETE,0.132733104,USD
.SPX,2019-06-12,2019-06-12,DISCRETE,0.132754299,USD
.SPX,2019-06-13,2019-06-13,DISCRETE,0.132775498,USD
.SPX,2019-06-14,2019-06-14,DISCRETE,0.132796701,USD
.SPX,2019-06-17,2019-06-17,DISCRETE,0.39854232,USD
.SPX,2019-06-18,2019-06-18,DISCRETE,0.132881552,USD
.SPX,2019-06-19,2019-06-19,DISCRETE,0.132902774,USD
.SPX,2019-06-20,2019-06-20,DISCRETE,0.132924001,USD
.SPX,2019-06-21,2019-06-21,DISCRETE,0.132945079,USD
.SPX,2019-06-24,2019-06-24,DISCRETE,0.398986371,USD
.SPX,2019-06-25,2019-06-25,DISCRETE,0.133029427,USD
.SPX,2019-06-26,2019-06-26,DISCRETE,0.133050523,USD
.SPX,2019-06-27,2019-06-27,DISCRETE,0.133071622,USD
.SPX,2019-06-28,2019-06-28,DISCRETE,0.133092725,USD
.SPX,2019-07-01,2019-07-01,DISCRETE,0.399429577,USD
.SPX,2019-07-02,2019-07-02,DISCRETE,0.133177172,USD
.SPX,2019-07-03,2019-07-03,DISCRETE,0.133198292,USD
.SPX,2019-07-05,2019-07-05,DISCRETE,0.266468234,USD
.SPX,2019-07-08,2019-07-08,DISCRETE,0.399873299,USD
.SPX,2019-07-09,2019-07-09,DISCRETE,0.133325088,USD
.SPX,2019-07-10,2019-07-10,DISCRETE,0.133346233,USD
.SPX,2019-07-11,2019-07-11,DISCRETE,0.133367382,USD
.SPX,2019-07-12,2019-07-12,DISCRETE,0.133388534,USD
.SPX,2019-07-15,2019-07-15,DISCRETE,0.40031754,USD
.SPX,2019-07-16,2019-07-16,DISCRETE,0.133473178,USD
.SPX,2019-07-17,2019-07-17,DISCRETE,0.133494348,USD
.SPX,2019-07-18,2019-07-18,DISCRETE,0.133515521,USD
.SPX,2019-07-19,2019-07-19,DISCRETE,0.133536698,USD
.SPX,2019-07-22,2019-07-22,DISCRETE,0.400762301,USD
.SPX,2019-07-23,2019-07-23,DISCRETE,0.133621441,USD
.SPX,2019-07-24,2019-07-24,DISCRETE,0.133642636,USD
.SPX,2019-07-25,2019-07-25,DISCRETE,0.133663834,USD
.SPX,2019-07-26,2019-07-26,DISCRETE,0.133685035,USD
.SPX,2019-07-29,2019-07-29,DISCRETE,0.401207583,USD
.SPX,2019-07-30,2019-07-30,DISCRETE,0.133769878,USD
